Group,Region,Location,Affected Areas
A,Central Region,Lilongwe A,Area 48
A,Central Region,Chigumula,
A,Southern Region,Limbe A,Bangwe Chirimba Thothozi Machinjiri Areas 1 2 3 5 6 7 8 9 10 11 and 12
A,Southern Region,Kwacha,Chilobwe part of Zingwangwa
A,Central Region,COM,
A,Central Region,Kauma,
A,Central Region,Chigumula,Nanjoka
A,Central Region,Mapanga,
A,Southern Region,Balaka,Liwonde
A,Central Region,Lilongwe A,
A,Central Region,Chingeni,
A,Central Region,Mapanga,
A,Central Region,Sonda,
A,Northern Region,Chintheche,
A,Central Region,Bakhresa,
A1,Southern Region,Zomba,Old Naisi Naisi Jokala Sakata Naming'azi Songani Namasalima Domasi Nsomba Namwera Turn-Off Malosa Fakili Old Machinga Boma Chamatwa Chamba Majiga Mpita Mposa
A1,Southern Region,Chinyama,Manja Nkolokosa Chimwankhunda Soche East part of Zingwangwa Kudya
A1,Southern Region,Chiradzulu,Chenguwo Chikuli Chimwawa 1 & 2 Chiradzulu Business Centre Chiradzulu Teachers' Training Centre Kachere Luchenza Losa M'boola Mtungama Mulira Nkhwali Muliya Namadidi Namphungo Namulenga Nkando Perenje Satali
A1,Southern Region,Mapanga,Mapanga Residential Makalanga Lambart Njuli Mbulumbuzi Walala
A1,Southern Region,Michiru,Chilomoni (Trading Centre Police MDC Fargo Michiru CCAP part of Sanjika Fargo Likhubula Evengalical College)
A1,Northern Region,Mzuzu,Ekwendeni Ekaiweni Mpherembe Kafukule Mbalachanda Madede Mtwalo Euthini Kapando Kazuni Nkhorongo Eswazini Bulala Ngomiyawo Hora
A1,Central Region,Lilongwe B,Area 47 Mtandire Mtsiriza Piyasani and Gateway Shopping Mall
A1,Central Region,Area 25,Area 25 Sectors 1 2 3 4 5 6 7 8 9 Kings Foundation part of Area 25C Zibweze Lilongwe TTC Kaimvi 1 & 2 Area 51 Area 25A Msungwi Rejected Stone Kabwabwa Area 25B and Chitukula
A1,Central Region,Dedza,Dedza Town Bembeke Mlanda Lizulu Mtendere Chimbiya Linthipe Diamphwi Lobi Malirana Mayani Calomue and Masasa
A1,Central Region,Chinyama,Kasungu Town Chatoloma Chulu Chisinga Nkhamenya Luwerezi Mabulabo Khosolo and Emfeni
A1,Central Region,Chingeni,Mvera Mchezi Dowa and part of Ntchisi
A2,Southern Region,Bangwe,Part of Bangwe Chikunda Mpingwe School
A2,Southern Region,Changalume,Namadidi Changalume Barracks Nankhunda Mlumbe Chingale Theka Quarry Chipini Chinseu Namitembo Luwezi Masaula
